wavenumbers,0,1,2,3
321,524.3543466,577.2212201,625.5986714,432.4503454
322,523.8692027,576.5094679,625.1565259,432.1665451
323,523.3831011,575.7965425,624.7133604,431.8820869
324,522.8960465,575.082452,624.269178,431.5969727
325,522.4080432,574.3672048,623.8239815,431.3112044
326,521.9190959,573.6508088,623.3777742,431.024784
327,521.429209,572.9332724,622.930559,430.7377134
328,520.938387,572.2146036,622.4823391,430.4499946
329,520.4466346,571.4948107,622.0331173,430.1616294
330,519.9539563,570.7739018,621.582897,429.8726199
331,519.4603565,570.0518852,621.131681,429.582968
332,518.9658399,569.3287689,620.6794725,429.2926756
333,518.4704109,568.6045613,620.2262745,429.0017447
334,517.9740742,567.8792704,619.7720901,428.7101773
335,517.4768344,567.1529046,619.3169225,428.4179753
336,516.9786959,566.4254719,618.8607747,428.1251407
337,516.4796633,565.6969807,618.4036499,427.8316754
338,515.9797413,564.967439,617.945551,427.5375815
339,515.4789343,564.2368551,617.4864812,427.2428608
340,514.9772471,563.5052372,617.0264437,426.9475154
341,514.4746841,562.7725935,616.5654416,426.6515473
342,513.9712499,562.0389322,616.1034779,426.3549584
343,513.4669492,561.3042615,615.6405558,426.0577507
344,512.9617865,560.5685896,615.1766784,425.7599262
345,512.4557665,559.8319248,614.7118489,425.4614869
346,511.9488937,559.0942752,614.2460704,425.1624348
347,511.4411727,558.355649,613.779346,424.8627719
348,510.9326081,557.6160545,613.311679,424.5625002
349,510.4232047,556.8754998,612.8430724,424.2616216
350,509.9129668,556.1339932,612.3735293,423.9601383
351,509.4018993,555.3915429,611.9030531,423.6580522
352,508.8900067,554.648157,611.4316467,423.3553652
353,508.3772936,553.9038438,610.9593134,423.0520795
354,507.8637646,553.1586116,610.4860564,422.7481971
355,507.3494245,552.4124684,610.0118789,422.4437199
356,506.8342777,551.6654225,609.536784,422.1386499
357,506.318329,550.9174822,609.0607748,421.8329893
358,505.801583,550.1686555,608.5838547,421.52674
359,505.2840442,549.4189507,608.1060267,421.2199041
360,504.7657175,548.6683761,607.6272941,420.9124835
361,504.2466073,547.9169397,607.1476602,420.6044804
362,503.7267184,547.1646498,606.6671279,420.2958967
363,503.2060554,546.4115146,606.1857007,419.9867345
364,502.6846229,545.6575423,605.7033817,419.6769958
365,502.1624256,544.9027411,605.2201741,419.3666827
366,501.6394682,544.1471191,604.7360811,419.0557972
367,501.1157553,543.3906845,604.251106,418.7443414
368,500.5912915,542.6334455,603.765252,418.4323173
369,500.0660815,541.8754103,603.2785223,418.119727
370,499.54013,541.1165871,602.7909202,417.8065725
371,499.0134417,540.356984,602.3024488,417.4928558
372,498.4860211,539.5966091,601.8131114,417.1785791
373,497.957873,538.8354707,601.3229113,416.8637444
374,497.4290021,538.073577,600.8318518,416.5483538
375,496.8994129,537.310936,600.3399359,416.2324092
376,496.3691102,536.5475559,599.8471671,415.9159129
377,495.8380986,535.7834449,599.3535486,415.5988668
378,495.3063829,535.0186111,598.8590836,415.2812731
379,494.7739676,534.2530626,598.3637754,414.9631338
380,494.2408574,533.4868076,597.8676273,414.6444509
381,493.7070571,532.7198542,597.3706424,414.3252266
382,493.1725713,531.9522105,596.8728242,414.0054629
383,492.6374047,531.1838847,596.3741759,413.685162
384,492.1015619,530.4148849,595.8747007,413.3643258
385,491.5650476,529.6452191,595.3744019,413.0429566
386,491.0278665,528.8748954,594.8732829,412.7210563
387,490.4900233,528.1039221,594.3713468,412.398627
388,489.9515226,527.3323071,593.8685971,412.0756709
389,489.4123692,526.5600586,593.3650369,411.7521901
390,488.8725677,525.7871845,592.8606696,411.4281866
391,488.3321228,525.0136931,592.3554985,411.1036625
392,487.7910392,524.2395924,591.8495269,410.7786199
393,487.2493215,523.4648903,591.3427581,410.453061
394,486.7069744,522.6895951,590.8351953,410.1269878
395,486.1640026,521.9137147,590.326842,409.8004024
