Wavenumber,0-1,1-1,10-1,11-1,2-1,4-1,5-1,6-1,7-1,8-1,9-1
900.53082,2427717.0,2415070.0,2376633.0,2366203.0,2410051.0,2473678.0,2344276.0,2387030.0,2391331.0,2383241.0,2428197.0
901.8009,2415005.0,2401946.0,2363469.0,2352158.0,2397425.0,2460247.0,2330543.0,2373705.0,2377268.0,2369378.0,2413323.0
903.07098,2406364.0,2392706.0,2354899.0,2343290.0,2387797.0,2451616.0,2322717.0,2364773.0,2368696.0,2361454.0,2404895.0
904.34082,2397051.0,2384846.0,2346735.0,2336553.0,2379974.0,2444525.0,2315505.0,2357288.0,2361962.0,2353350.0,2398346.0
905.60907,2390581.0,2377374.0,2337762.0,2327106.0,2370821.0,2434892.0,2306968.0,2349736.0,2354469.0,2344868.0,2389583.0
906.87866,2383260.0,2368957.0,2331763.0,2320326.0,2363372.0,2426956.0,2300174.0,2342316.0,2345608.0,2336939.0,2381674.0
908.14807,2371376.0,2356148.0,2320535.0,2311260.0,2352425.0,2415124.0,2288195.0,2330151.0,2333521.0,2325995.0,2370499.0
909.41583,2366672.0,2352550.0,2315103.0,2306062.0,2346806.0,2411007.0,2283911.0,2324782.0,2328740.0,2321784.0,2364542.0
910.68506,2357446.0,2342654.0,2306775.0,2294164.0,2337107.0,2400639.0,2274414.0,2314701.0,2319730.0,2312163.0,2354855.0
911.95404,2350491.0,2336986.0,2299992.0,2290555.0,2330796.0,2395493.0,2268894.0,2310583.0,2314432.0,2307103.0,2350451.0
913.22137,2341153.0,2327516.0,2290211.0,2280664.0,2321692.0,2384984.0,2260187.0,2300818.0,2304670.0,2297416.0,2339087.0
914.49011,2332963.0,2318570.0,2281483.0,2270280.0,2313131.0,2375736.0,2250914.0,2291824.0,2295098.0,2287705.0,2330640.0
915.75714,2325112.0,2311669.0,2274589.0,2263129.0,2304943.0,2367182.0,2243533.0,2284044.0,2288508.0,2280476.0,2322762.0
917.02557,2320643.0,2305168.0,2268732.0,2256932.0,2298193.0,2361381.0,2238038.0,2278692.0,2281997.0,2273815.0,2317466.0
918.29388,2310290.0,2294394.0,2258013.0,2245822.0,2288134.0,2350122.0,2227042.0,2266923.0,2271491.0,2263077.0,2306005.0
919.56049,2305952.0,2288831.0,2252835.0,2242390.0,2283072.0,2345372.0,2222011.0,2262221.0,2266142.0,2259086.0,2301389.0
920.82697,2295135.0,2280314.0,2243642.0,2230741.0,2272676.0,2335617.0,2212847.0,2252579.0,2255736.0,2248248.0,2291212.0
922.09485,2288977.0,2271844.0,2235123.0,2224217.0,2264221.0,2327139.0,2205430.0,2245704.0,2246719.0,2240585.0,2283566.0
923.36102,2284127.0,2266964.0,2229152.0,2220139.0,2260318.0,2321632.0,2199919.0,2239841.0,2242416.0,2236319.0,2278386.0
924.62854,2278230.0,2261654.0,2224168.0,2212489.0,2254533.0,2315618.0,2193916.0,2233379.0,2236308.0,2229374.0,2270871.0
925.89441,2269565.0,2250915.0,2212293.0,2201578.0,2245186.0,2303483.0,2183356.0,2223515.0,2225360.0,2218453.0,2260602.0
927.16022,2266459.0,2247067.0,2209048.0,2198260.0,2240026.0,2300221.0,2179296.0,2219643.0,2223262.0,2216171.0,2257307.0
928.42731,2259275.0,2238906.0,2199907.0,2188406.0,2230531.0,2291275.0,2171828.0,2210701.0,2212685.0,2205334.0,2247854.0
929.69281,2254173.0,2234253.0,2194153.0,2183790.0,2225601.0,2284273.0,2166373.0,2206145.0,2206935.0,2201251.0,2243547.0
930.95807,2244903.0,2224763.0,2184806.0,2174262.0,2214518.0,2274299.0,2157268.0,2195585.0,2198379.0,2191016.0,2232865.0
932.22485,2244665.0,2223334.0,2182438.0,2171389.0,2213038.0,2273025.0,2155264.0,2192615.0,2194592.0,2188423.0,2230404.0
933.48987,2238401.0,2215702.0,2175248.0,2163363.0,2206643.0,2265432.0,2147757.0,2186452.0,2186377.0,2181688.0,2223743.0
934.7547,2231850.0,2208854.0,2167532.0,2156216.0,2198228.0,2256149.0,2138069.0,2178337.0,2179689.0,2173414.0,2213934.0
936.01953,2230856.0,2205598.0,2162966.0,2151433.0,2195152.0,2252326.0,2135334.0,2173813.0,2176281.0,2169184.0,2211036.0
937.28412,2222698.0,2196873.0,2155773.0,2143667.0,2186560.0,2243308.0,2126293.0,2165503.0,2166942.0,2159812.0,2200609.0
938.54858,2222786.0,2194526.0,2151631.0,2140859.0,2183803.0,2239698.0,2124192.0,2161273.0,2163150.0,2156334.0,2197644.0
939.81287,2216256.0,2189223.0,2143963.0,2132447.0,2177179.0,2232117.0,2115640.0,2153179.0,2155398.0,2149333.0,2191203.0
941.07855,2214959.0,2186698.0,2140773.0,2129384.0,2174134.0,2228332.0,2111849.0,2150317.0,2151586.0,2145640.0,2187298.0
942.34259,2210202.0,2178763.0,2131965.0,2121052.0,2165493.0,2221444.0,2104059.0,2141387.0,2143187.0,2136783.0,2177673.0
943.60645,2208434.0,2175754.0,2128447.0,2116373.0,2161595.0,2215669.0,2099228.0,2138392.0,2139318.0,2132454.0,2173550.0
944.87018,2208259.0,2173430.0,2124025.0,2112680.0,2159352.0,2212613.0,2097887.0,2133923.0,2134869.0,2129935.0,2171125.0
946.13373,2203371.0,2167747.0,2116685.0,2106905.0,2151696.0,2204749.0,2090366.0,2127781.0,2128156.0,2122200.0,2164091.0
947.39581,2204258.0,2166436.0,2114404.0,2101347.0,2150125.0,2201346.0,2086409.0,2125618.0,2125734.0,2119715.0,2160607.0
948.65906,2201300.0,2160931.0,2106779.0,2095406.0,2143502.0,2194268.0,2081172.0,2119292.0,2118393.0,2113201.0,2153878.0
949.92224,2201874.0,2161326.0,2105073.0,2092800.0,2141830.0,2193146.0,2076604.0,2114358.0,2114290.0,2109890.0,2149749.0
951.18524,2198562.0,2155307.0,2096197.0,2086127.0,2135838.0,2185309.0,2071613.0,2108507.0,2108650.0,2102572.0,2142834.0
952.44806,2199033.0,2154374.0,2094288.0,2083618.0,2133275.0,2182584.0,2068412.0,2105702.0,2104562.0,2099326.0,2139214.0
953.71088,2200807.0,2151207.0,2089238.0,2077800.0,2129466.0,2178957.0,2064261.0,2101240.0,2099154.0,2094281.0,2136058.0
954.97345,2200992.0,2150928.0,2085010.0,2074120.0,2126523.0,2174123.0,2059323.0,2096344.0,2095160.0,2089826.0,2130164.0
956.23438,2203026.0,2148433.0,2079592.0,2068718.0,2123600.0,2169898.0,2055640.0,2092417.0,2091714.0,2085468.0,2126708.0
957.49664,2203301.0,2146768.0,2075040.0,2063868.0,2120004.0,2163092.0,2050961.0,2086864.0,2084620.0,2079390.0,2119818.0
958.75879,2207578.0,2146825.0,2071222.0,2060385.0,2117382.0,2160443.0,2046627.0,2083579.0,2080594.0,2077128.0,2117223.0
960.02087,2213346.0,2147582.0,2068251.0,2056819.0,2115566.0,2156649.0,2043244.0,2079609.0,2076691.0,2072464.0,2113587.0
961.28125,2221187.0,2150140.0,2065908.0,2053751.0,2115500.0,2153789.0,2041859.0,2077921.0,2075453.0,2069181.0,2109738.0
962.54297,2230905.0,2154358.0,2062752.0,2051297.0,2116500.0,2152504.0,2040083.0,2074642.0,2072559.0,2068083.0,2108259.0
963.80304,2241556.0,2156826.0,2057289.0,2046507.0,2114759.0,2148045.0,2033883.0,2070034.0,2066717.0,2062799.0,2103149.0
965.06445,2258284.0,2163164.0,2052785.0,2042031.0,2118017.0,2144355.0,2031324.0,2066463.0,2063336.0,2057365.0,2097875.0
966.32574,2286420.0,2176191.0,2053282.0,2043391.0,2121835.0,2147185.0,2033462.0,2067310.0,2062851.0,2059475.0,2098875.0
967.58545,2314644.0,2190850.0,2050448.0,2039539.0,2127484.0,2145086.0,2030975.0,2065726.0,2060870.0,2057127.0,2097709.0
968.84644,2343632.0,2201658.0,2043500.0,2033074.0,2127943.0,2141144.0,2025050.0,2059198.0,2053921.0,2049735.0,2089208.0
970.10577,2386038.0,2222166.0,2043279.0,2032634.0,2137691.0,2141801.0,2024976.0,2059569.0,2054506.0,2048826.0,2087319.0
