Wavenumber,Original,Baseline,Corrected
19.8258,1856.72,1755.461949098481,101.25805090151903
20.1664,1844.25,1743.643964211959,100.60603578804103
20.5084,1808.94,1731.8402719269477,77.09972807305235
20.849,1806.21,1720.0651648449589,86.14483515504116
21.1895,1760.79,1708.3329355675032,52.457064432496736
21.5299,1763.03,1696.6578766960909,66.37212330390912
21.8704,1744.81,1685.0542808322316,59.75571916776835
22.2124,1711.52,1673.5364405774349,37.98355942256512
22.5529,1715.67,1662.11864853321,53.55135146679004
22.8933,1687.06,1650.815197301067,36.24480269893297
23.2337,1665.15,1639.6403794825171,25.509620517482972
23.5741,1648.84,1628.608487679071,20.231512320928914
23.9145,1640.9,1617.7338144922408,23.166185507759337
24.2564,1607.03,1607.0306525235383,-0.0006525235382923711
24.5968,1609.51,1596.5132943744745,12.996705625525465
24.9371,1597.54,1586.1668032353487,11.373196764651311
25.2774,1588.41,1575.9762422964573,12.433757703542824
25.6177,1574.31,1565.926674748098,8.383325251901852
25.958,1556.27,1556.0031637805696,0.26683621943038816
26.2983,1548.11,1546.1907725841693,1.919227415830619
26.6386,1554.04,1536.485508659499,17.554491340501045
26.9789,1537.12,1526.8868520117421,10.23314798825777
27.3191,1530.27,1517.3942826460827,12.875717353917253
27.6608,1523.02,1508.007280567704,15.01271943229608
28.0011,1502.19,1498.725325781788,3.464674218212167
28.3413,1507.17,1489.5478982935158,17.622101706484273
28.6814,1510.47,1480.4744781080692,29.99552189193082
29.0216,1490.19,1471.5045452306294,18.685454769370608
29.3618,1476.69,1462.6375796663788,14.052420333621285
29.7019,1494.68,1453.8730614204992,40.806938579500866
30.042,1474.37,1445.210470498172,29.15952950182782
30.3821,1469.88,1436.649286904579,33.23071309542115
30.7222,1444.58,1428.1889906449014,16.391009355098504
31.0623,1454.91,1419.829061724321,35.080938275679046
31.4024,1455.89,1411.5689801480185,44.321019851981646
31.7424,1450.07,1403.408225921175,46.66177407882492
32.0825,1447.18,1395.3462790489684,51.83372095103164
32.4225,1438.4,1387.3826195365762,51.01738046342393
32.7625,1420.64,1379.5167273891752,41.12327261082487
33.1025,1424.25,1371.7480826119424,52.501917388057564
33.4425,1423.05,1364.0761652100546,58.973834789945386
33.7824,1421.95,1356.5004551886884,65.44954481131163
34.1224,1416.35,1349.0204325530194,67.32956744698049
34.4623,1414.92,1341.6355773082241,73.28442269177594
34.8022,1409.09,1334.3453694594796,74.74463054052035
35.1421,1402.24,1327.1492890119614,75.09071098803861
35.482,1400.2,1320.0468159708448,80.15318402915523
35.8204,1401.68,1313.0374303413053,88.64256965869481
36.1602,1394.2,1306.1206121285184,88.07938787148169
36.5001,1397.59,1299.2958413376593,98.29415866234058
36.8399,1397.08,1292.562597973904,104.51740202609585
37.1797,1387.15,1285.920362042428,101.2296379575721
37.5195,1376.92,1279.368613548407,97.55138645159309
37.8593,1383.47,1272.9068324970165,110.56316750298356
38.1991,1363.39,1266.534498893432,96.855501106568
38.5389,1368.33,1260.251092742829,108.07890725717084
38.8771,1357.66,1254.056094050383,103.603905949617
39.2168,1354.44,1247.9489828212704,106.49101717872963
39.5565,1363.22,1241.9292390606672,121.29076093933281
39.8962,1356.54,1235.9963427737491,120.54365722625084
40.2359,1338.61,1230.1497739656909,108.46022603430902
40.5756,1339.52,1224.3890126416684,115.1309873583316
40.9152,1344.65,1218.7135388068568,125.93646119314326
41.2534,1335.22,1213.1228324664312,122.09716753356884
41.593,1334.41,1207.616373625566,126.7936263744341
41.9326,1339.24,1202.1936422894362,137.04635771056383
42.2722,1324.93,1196.8541184632174,128.07588153678262
42.6118,1332.9,1191.5972821520857,141.30271784791444
42.9498,1330.64,1186.4226133612171,144.21738663878295
43.2894,1334.94,1181.3295920957878,153.61040790421225
43.6289,1316.21,1176.3176983609728,139.8923016390272
43.9684,1317.6,1171.386412161947,146.21358783805294
44.3064,1314.35,1166.535213503885,147.81478649611495
44.6459,1307.57,1161.7635823919616,145.80641760803837
44.9854,1316.95,1157.070998831351,159.87900116864898
45.3249,1316.6,1152.456942827228,164.14305717277193
45.6628,1326.17,1147.9208943847661,178.24910561523393
46.0023,1312.93,1143.4623335091399,169.4676664908602
46.3417,1297.65,1139.0807402055236,158.56925979447647
46.6811,1300.51,1134.7755944790922,165.73440552090779
47.019,1302.61,1130.54637633502,172.0636236649798
47.3583,1311.22,1126.3925657784825,184.82743422151748
47.6977,1300.78,1122.3136428146543,178.46635718534571
48.0355,1294.24,1118.3090874487095,175.93091255129048
48.3749,1297.44,1114.3783796858227,183.0616203141774
48.7142,1292.99,1110.520999531168,182.46900046883206
49.052,1288.3,1106.736426989919,181.56357301008097
49.3913,1286.67,1103.0241420672496,183.64585793275046
49.7305,1279.06,1099.3836247683344,179.6763752316656
50.0683,1270.81,1095.8143550983482,174.99564490165176
50.4075,1286.01,1092.3158130624654,193.6941869375346
50.7468,1278.46,1088.8874786658605,189.57252133413954
51.0845,1275.97,1085.528831913708,190.441168086292
51.4237,1283.48,1082.2393528111813,201.24064718881868
51.7629,1274.31,1079.0185213634547,195.2914786365452
52.1005,1268.84,1075.8658175757027,192.97418242429717
52.4397,1272.22,1072.7807214530999,199.43927854690014
52.7773,1268.63,1069.762713000821,198.8672869991792
53.1164,1253.19,1066.8112722240403,186.37872777595976
53.4556,1269.12,1063.925879127934,205.19412087206592
53.7932,1267.43,1061.1060137176778,206.32398628232227
54.1322,1266.37,1058.3511559984474,208.01884400155245
54.4698,1259.42,1055.6607859754183,203.75921402458175
54.8089,1258.28,1053.0343836537652,205.24561634623478
55.1464,1259.77,1050.4714290386632,209.29857096133674
55.4854,1246.66,1047.9714021352877,198.6885978647124
55.8244,1260.79,1045.5337829488128,215.25621705118715
56.1619,1258.28,1043.1580514844125,215.12194851558752
56.5009,1255.29,1040.84368774726,214.44631225273997
56.8383,1243.04,1038.5901717425288,204.44982825747115
57.1773,1246.08,1036.3969834753918,209.6830165246081
