Wavenumber,Original,Baseline,Corrected
19.8258,2552.41,2474.8126938196333,77.59730618036656
20.1664,2506.62,2457.0183656035497,49.60163439645021
20.5084,2508.22,2439.22407002515,68.99592997484979
20.849,2440.01,2421.4298397221196,18.580160277880623
21.1895,2433.4,2403.635707332145,29.76429266785499
21.5299,2411.01,2385.8417054929146,25.168294507085648
21.8704,2392.76,2368.0478668421165,24.712133157883727
22.2124,2368.49,2350.2542240174394,18.235775982560426
22.5529,2342.5,2332.4608096565735,10.039190343426526
22.8933,2314.92,2314.6676563972096,0.25234360279046086
23.2337,2296.88,2296.87479687704,0.005203122960210749
23.5741,2284.95,2279.0955939851283,5.854406014871529
23.9145,2261.67,2261.3439489069915,0.32605109300857293
24.2564,2261.63,2243.633762828144,17.996237171856137
24.5968,2225.97,2225.9974182455867,-0.02741824558688677
24.9371,2213.17,2208.467297656322,4.702702343678084
25.2774,2216.46,2191.0431185496795,25.41688145032049
25.6177,2177.2,2173.724598414988,3.4754015850116957
25.958,2183.09,2156.5114547415783,26.578545258421855
26.2983,2164.87,2139.403405018781,25.466594981218805
26.6386,2159.44,2122.400166735926,37.03983326407388
26.9789,2141.57,2105.5014573823446,36.06854261765557
27.3191,2146.39,2088.7069944473683,57.683005552631585
27.6608,2120.71,2072.016495420329,48.693504579670844
28.0011,2117.2,2055.42967779056,61.770322209439655
28.3413,2105.19,2038.946259047396,66.24374095260396
28.6814,2099.8,2022.5659566801712,77.23404331982897
29.0216,2091.75,2006.2884881782202,85.46151182177982
29.3618,2094.95,1990.1135710308786,104.83642896912124
29.7019,2091.38,1974.0409227274813,117.33907727251881
30.042,2084.64,1958.070260757363,126.56973924263684
30.3821,2059.25,1942.2013026098584,117.04869739014157
30.7222,2066.92,1926.433765774304,140.48623422569608
31.0623,2053.5,1910.7673677400362,142.7326322599638
31.4024,2059.2,1895.2018259963922,163.99817400360757
31.7424,2034.38,1879.7368580327104,154.6431419672897
32.0825,2047.55,1864.3721813383283,183.1778186616716
32.4225,2030.26,1849.1075134025837,181.15248659741633
32.7625,2016.59,1833.9425717148138,182.64742828518615
33.1025,2019.39,1818.8770737643565,200.5129262356436
33.4425,2030.83,1803.9107370405502,226.91926295944972
33.7824,2013.74,1789.043279032733,224.69672096726708
34.1224,2012.08,1774.2744172302444,237.80558276975557
34.4623,2009.44,1759.603869122425,249.836130877575
34.8022,2005.02,1745.0313521986157,259.98864780138433
35.1421,1998.9,1730.5565839481571,268.34341605184295
35.482,1991.69,1716.1792818603915,275.51071813960857
35.8204,2007.11,1701.89916342466,305.21083657533995
36.1602,1987.58,1687.7159461303056,299.8640538696943
36.5001,1998.4,1673.6293474666718,324.7706525333283
36.8399,2018.04,1659.6390849231016,358.4009150768984
37.1797,1997.5,1645.7448759889396,351.7551240110604
37.5195,1990.84,1631.9464381535308,358.8935618464691
37.8593,1991.33,1618.243488906221,373.0865110937789
38.1991,1979.74,1604.6357457363556,375.1042542636444
38.5389,1984.39,1591.122926133281,393.2670738667191
38.8771,1980.49,1577.704747586344,402.78525241365605
39.2168,1985.63,1564.3809275848928,421.2490724151073
39.5565,1973.07,1551.1511836182758,421.9188163817241
39.8962,1959.67,1538.0152331758427,421.6547668241574
40.2359,1979.96,1524.9727937469424,454.9872062530576
40.5756,1965.68,1512.0235828209259,453.6564171790742
40.9152,1955.4,1499.1673178871442,456.23268211285585
41.2534,1963.04,1486.4037164349509,476.6362835650491
41.593,1956.05,1473.732495953699,482.3175040463009
41.9326,1951.09,1461.1533739327426,489.9366260672573
42.2722,1950.45,1448.6660678614353,501.78393213856475
42.6118,1951.59,1436.2702952291315,515.3197047708684
42.9498,1951.1,1423.9657735251858,527.1342264748141
43.2894,1937.85,1411.7522202389528,526.0977797610471
43.6289,1927.57,1399.629352859787,527.9406471402128
43.9684,1939.24,1387.5968888770449,551.6431111229551
44.3064,1924.94,1375.6545457800821,549.2854542199179
44.6459,1914.26,1363.8020410582549,550.4579589417451
44.9854,1919.43,1352.03909220092,567.39090779908
45.3249,1914.51,1340.3654166974347,574.1445833025653
45.6628,1902.93,1328.7807320371562,574.1492679628439
46.0023,1905.33,1317.2847557094428,588.0452442905571
46.3417,1901.88,1305.8772052036531,596.002794796347
46.6811,1899.44,1294.5577980091464,604.8822019908537
47.019,1876.76,1283.3262516152827,593.4337483847173
47.3583,1893.37,1272.1822835114224,621.1877164885775
47.6977,1879.48,1261.1256111869254,618.3543888130746
48.0355,1854.66,1250.1559521311524,604.5040478688477
48.3749,1848.89,1239.2730238334632,609.6169761665369
48.7142,1842.47,1228.476543783219,613.9934562167809
49.052,1848.05,1217.7662294697816,630.2837705302184
49.3913,1839.4,1207.1417983825133,632.2582016174867
49.7305,1824.79,1196.602968010776,628.1870319892239
50.0683,1818.77,1186.149455843932,632.620544156068
50.4075,1811.46,1175.780979371344,635.679020628656
50.7468,1796.55,1165.497256082376,631.052743917624
51.0845,1792.79,1155.2980034663915,637.4919965336085
51.4237,1764.09,1145.1829390127536,618.9070609872463
51.7629,1765.07,1135.1517802108274,629.9182197891726
52.1005,1763.2,1125.2042445499774,637.9957554500227
52.4397,1771.47,1115.3400495195685,656.1299504804315
52.7773,1757.19,1105.558912608966,651.631087391034
53.1164,1733.88,1095.8605513075354,638.0194486924647
53.4556,1753.72,1086.2446831046427,667.4753168953573
53.7932,1745.95,1076.7110254896545,669.2389745103455
54.1322,1728.63,1067.2592959519368,661.3707040480633
54.4698,1701.7,1057.889211980856,643.810788019144
54.8089,1709.75,1048.6004910657796,661.1495089342204
55.1464,1710.6,1039.3928506960744,671.2071493039255
55.4854,1697.41,1030.2660083611079,667.1439916388922
55.8244,1709.5,1021.2196815502472,688.2803184497528
56.1619,1680.6,1012.2535877528595,668.3464122471404
56.5009,1680.08,1003.3674444583127,676.7125555416873
56.8383,1670.51,994.5609691559739,675.9490308440261
57.1773,1651.67,985.8338793352104,665.8361206647896
57.5147,1636.08,977.1858924853904,658.8941075146096
57.8537,1651.16,968.6167260958822,682.5432739041179
58.1911,1640.65,960.1260976560549,680.5239023439452
58.53,1628.67,951.7137246552775,676.9562753447226
58.8673,1610.86,943.3793245829198,667.4806754170801
59.2062,1625.56,935.1226149283509,690.437385071649
59.5435,1618.33,926.94331318094,691.38668681906
59.8824,1599.51,918.8411368300563,680.6688631699437
60.2197,1586.98,910.8158033650691,676.1641966349309
60.5585,1601.5,902.8670302753478,698.6329697246522
60.8958,1565.71,894.9945350502624,670.7154649497377
61.233,1556.99,887.1980351791825,669.7919648208175
61.5718,1566.48,879.4772481514783,687.0027518485217
61.909,1548.7,871.8318914565206,676.8681085434795
62.2478,1543.25,864.2616825836803,678.9883174163197
62.585,1536.21,856.7663390223292,679.4436609776708
62.9237,1537.43,849.3455782618385,688.0844217381616
63.2609,1527.83,841.999117791579,685.8308822084209
63.5981,1518.73,834.7266751009225,684.0033248990775
63.9367,1527.38,827.5279676792406,699.8520323207595
64.2739,1522.88,820.4027130159055,702.4772869840946
64.611,1513.62,813.3506286002895,700.2693713997104
64.9496,1499.85,806.3714319217651,693.4785680782348
65.2867,1492.34,799.4648404697052,692.8751595302947
65.6253,1499.45,792.630571733483,706.8194282665171
65.9623,1485.51,785.8683432024717,699.6416567975283
66.2994,1482.08,779.1778723660449,702.902127633955
66.6379,1484.47,772.5588767135766,711.9111232864234
66.975,1473.67,766.0110737344411,707.658926265559
67.312,1464.81,759.5341809180131,705.2758190819868
67.6505,1469.29,753.1279157536676,716.1620842463324
67.9875,1453.67,746.7919957307796,706.8780042692205
68.3244,1459.97,740.5261383387245,719.4438616612755
68.6629,1452.62,734.3300610668774,718.2899389331225
68.9998,1457.53,728.2034814046139,729.3265185953861
69.3367,1440.78,722.1461168413094,718.6338831586905
69.6737,1439.53,716.1576848663403,723.3723151336596
70.0121,1442.64,710.2379029690836,732.4020970309165
70.3489,1449.43,704.3864886389161,745.0435113610839
70.6858,1431.64,698.6031593652154,733.0368406347847
71.0226,1446.16,692.8876326373594,753.2723673626407
71.361,1424.63,687.2396259447256,737.3903740552745
71.6978,1435.23,681.6588567766921,753.5711432233079
72.0346,1423.8,676.1450426226372,747.6549573773627
72.3714,1430.63,670.6979009719396,759.9320990280605
72.7097,1438.02,665.3171493139774,772.7028506860225
73.0465,1429.28,660.0025051381293,769.2774948618707
73.3832,1420.02,654.7536859337738,765.2663140662262
73.7199,1430.59,649.5704091902896,781.0195908097103
74.0566,1411.63,644.4523923970559,767.1776076029442
74.3949,1407.17,639.3993530434514,767.7706469565487
74.7316,1412.1,634.411008618855,777.6889913811449
75.0682,1410.76,629.4870766126461,781.2729233873539
75.4049,1396.35,624.627274514204,771.7227254857959
75.7415,1391.84,619.8313198129082,772.0086801870917
76.0797,1408.74,615.098929998138,793.641070001862
76.4163,1390.15,610.4298225592731,779.720177440727
76.7529,1387.12,605.8237149856932,781.2962850143067
77.0895,1398.32,601.2803247667779,797.039675233222
77.4261,1370.02,596.7993693919072,773.2206306080927
77.7626,1374.28,592.3805663504613,781.8994336495387
78.0992,1392.18,588.0236331318202,804.1563668681798
78.4357,1385.66,583.7282872253645,801.9317127746356
78.7737,1388.34,579.4942461204752,808.8457538795248
79.1102,1376.03,575.3212273065333,800.7087726934667
79.4467,1382.13,571.2089482729199,810.9210517270802
79.7832,1373.94,567.1571265090164,806.7828734909837
80.1197,1370.0,563.1654795042042,806.8345204957958
80.4561,1363.83,559.2337247478647,804.5962752521352
80.7925,1362.89,555.3615797293797,807.5284202706204
81.1289,1364.9,551.5487619381312,813.3512380618689
81.4653,1365.54,547.7949888635009,817.7450111364991
81.8017,1365.53,544.0999779948702,821.4300220051298
82.1381,1353.85,540.4634468216204,813.3865531783795
82.4745,1382.11,536.885112833133,845.2248871668669
82.8108,1362.77,533.3646935187893,829.4053064812107
83.1471,1362.09,529.9019063679706,832.1880936320293
83.4835,1341.24,526.4964688700584,814.7435311299416
83.8198,1359.69,523.1480985144339,836.5419014855662
84.156,1348.76,519.8565127904783,828.9034872095217
84.4923,1350.6,516.6214291875737,833.9785708124263
84.8286,1331.28,513.442565195102,817.837434804898
85.1648,1338.7,510.3196383024454,828.3803616975547
85.501,1335.84,507.2523659989861,828.5876340010138
