Wavenumber,Original,Baseline,Corrected
19.8258,2628.16,2523.7479288038685,104.41207119613136
20.1664,2600.82,2507.698479638646,93.12152036135421
20.5084,2575.31,2491.6595226560257,83.65047734397422
20.849,2565.67,2475.641550038611,90.02844996138901
21.1895,2506.29,2459.655053969003,46.63494603099707
21.5299,2487.41,2443.7105266298,43.69947337019994
21.8704,2469.62,2427.8184602035994,41.80153979640045
22.2124,2435.18,2411.9893468729974,23.190653127002406
22.5529,2414.05,2396.233678820588,17.81632117941217
22.8933,2407.8,2380.561948228965,27.238051771035316
23.2337,2381.93,2364.98464728072,16.94535271927998
23.5741,2349.49,2349.512268158442,-0.022268158442329877
23.9145,2345.96,2334.1553030447208,11.804696955279269
24.2564,2330.05,2318.910995715352,11.139004284648308
24.5968,2310.36,2303.7765899461315,6.583410053868647
24.9371,2300.11,2288.749329512853,11.360670487147218
25.2774,2289.36,2273.82645819131,15.533541808690188
25.6177,2262.15,2259.005219757296,3.1447802427042006
25.958,2248.15,2244.282857986601,3.8671420133991887
26.2983,2238.19,2229.658194274511,8.531805725488994
26.6386,2233.1,2215.130968554582,17.96903144541784
26.9789,2223.26,2200.700920760368,22.55907923963241
27.3191,2218.34,2186.367790825421,31.972209174579348
27.6608,2197.05,2172.131318683291,24.918681316709353
28.0011,2184.79,2157.991244267528,26.798755732471818
28.3413,2170.12,2143.9473075116803,26.172692488319626
28.6814,2173.04,2129.999248349293,43.04075165070708
29.0216,2165.5,2116.146806713911,49.35319328608921
29.3618,2149.81,2102.3897225390756,47.42027746092435
29.7019,2135.15,2088.727735758326,46.42226424167393
30.042,2146.33,2075.1605863052005,71.16941369479946
30.3821,2133.59,2061.688014113237,71.90198588676321
30.7222,2123.19,2048.3097591159717,74.88024088402835
31.0623,2120.82,2035.0255612469398,85.79443875306038
31.4024,2107.13,2021.835160439675,85.29483956032504
31.7424,2115.96,2008.7382966277087,107.22170337229136
32.0825,2105.03,1995.734709744571,109.29529025542911
32.4225,2094.99,1982.8241397237914,112.16586027620838
32.7625,2105.1,1970.0063264988971,135.09367350110278
33.1025,2096.24,1957.2810100034148,138.95898999658493
33.4425,2088.13,1944.6479301708712,143.48206982912893
33.7824,2082.23,1932.1068269347911,150.1231730652089
34.1224,2073.28,1919.6574402286976,153.62255977130258
34.4623,2090.44,1907.2995099861125,183.14049001388753
34.8022,2083.58,1895.0327761405563,188.54722385944365
35.1421,2068.94,1882.856978625549,186.08302137445116
35.482,2057.59,1870.7718573746092,186.81814262539092
35.8204,2062.55,1858.7771523212527,203.77284767874744
36.1602,2052.81,1846.8726033989944,205.9373966010055
36.5001,2060.69,1835.0579505413477,225.63204945865232
36.8399,2055.83,1823.3329336818247,232.49706631817526
37.1797,2052.21,1811.697292753935,240.51270724606502
37.5195,2059.33,1800.1507676911879,259.17923230881206
37.8593,2027.37,1788.6930984270916,238.67690157290826
38.1991,2057.0,1777.3240248951538,279.6759751048462
38.5389,2048.69,1766.043287028881,282.6467129711191
38.8771,2036.56,1754.8506247617786,281.70937523822136
39.2168,2038.55,1743.7457780273514,294.8042219726485
39.5565,2050.39,1732.7284867591022,317.66151324089765
39.8962,2040.24,1721.798490890532,318.4415091094679
40.2359,2018.13,1710.9555303551413,307.17446964485885
40.5756,2035.12,1700.1993450864297,334.92065491357016
40.9152,2034.85,1689.5296750178966,345.32032498210333
41.2534,2030.05,1678.946260083041,351.10373991695906
41.593,2035.97,1668.4488402153595,367.52115978464053
41.9326,2025.09,1658.0371553483485,367.0528446516514
42.2722,2008.41,1647.7109454155038,360.69905458449625
42.6118,2010.51,1637.4699503503189,373.0400496496811
42.9498,2019.81,1627.3139100862863,392.4960899137136
43.2894,2023.12,1617.242564556898,405.87743544310183
43.6289,2009.11,1607.2556536956445,401.85434630435543
43.9684,2007.63,1597.3529174360149,410.27708256398523
44.3064,2003.98,1587.5340957114986,416.4459042885014
44.6459,2009.78,1577.7989284555852,431.9810715444148
44.9854,2003.73,1568.1471556017632,435.58284439823683
45.3249,1979.25,1558.5785170835206,420.67148291647936
45.6628,1986.47,1549.092752834344,437.37724716565594
46.0023,1989.02,1539.6896027877199,449.3303972122801
46.3417,1986.94,1530.3688068771335,456.5711931228666
46.6811,1962.58,1521.13010503607,441.44989496392986
