Spectrum,Lambda,Tau
1-ocp_02,5865.574387099547,9.288368845792941e-07
10--1_2v_01,6708.734810598004,1.0280671549411093e-06
11--1_3v_01,6708.734810597983,1.0280671549411093e-06
12--1_4v_01,6708.734810597983,1.0280671549411093e-06
13--1_5v_01,6708.734810597983,1.0280671549411093e-06
14--1_6v_01,6708.734810597983,1.0280671549411093e-06
15--1_7v_01,6708.734810597983,1.0280671549411093e-06
16--1_8v_01,6607.9745150699255,1.0173507348627249e-06
17--1_9v_01,6608.5688942850575,1.0195492350277074e-06
18--1_7v-b_01,6544.021636333202,1.0402288782602752e-06
18--1_8v-b_01,6729.811961024142,1.0835857404274478e-06
19--1_6v-b_01,6628.586048823651,1.0493913982231754e-06
2--0_4v_01,6708.734810597983,1.0280671549411093e-06
20--1_5v-b_01,6655.320050938918,1.095788056377886e-06
21--1_4v-b_01,6655.320050938939,1.095788056377886e-06
22--1_3v-b_01,6655.320050938939,1.095788056377886e-06
23--1_2v-b_01,6544.021636333196,1.0402288782602752e-06
24--1_1v-b_01,6641.416888289172,1.0673830759454205e-06
25--1v-b_01,6628.586048823651,1.0493913982231754e-06
26--0_9v-b_01,7031.782509272331,1.1223212540944275e-06
27--0_8v-b_01,6655.320050938939,1.095788056377886e-06
28--0_7v-b_01,6544.021636333202,1.0402288782602752e-06
29--0_6v-b_01,6199.942979156238,9.395711811925494e-07
3--0_5v_01,6708.734810597983,1.0280671549411093e-06
30--0_5v-b_01,6544.021636333202,1.0402288782602752e-06
31--0_4v-b_01,6220.890243541124,9.871758702127084e-07
32--ocp-b_01,5542.442189217829,9.229864226549156e-07
34--2v-b_01,36.96051697025286,2.1359073188417562e-08
4--0_6v_01,6554.9198057917565,9.900658082809684e-07
5--0_7v_01,6554.9198057917565,9.900658082809684e-07
6--0_8v_01,6554.919805791764,9.900658082809684e-07
7--0_9v_01,6708.734810597983,1.0280671549411093e-06
8--1v_01,6472.750503774258,1.0015752722182261e-06
9--1_1v_01,6708.734810598004,1.0280671549411093e-06
