Wavenumber,Original,Predicted_Baseline,Corrected_Predicted,Default_Baseline,Corrected_Default
19.8258,1856.72,1755.46194841819,101.25805158180992,1554.73908065348,301.98091934652007
20.1664,1844.25,1743.6439636030425,100.6060363969575,1551.7200771943494,292.5299228056506
20.5084,1808.94,1731.8402713887265,77.09972861127358,1548.701073735219,260.23892626478096
20.849,1806.21,1720.0651643760737,86.14483562392638,1545.6820702760886,260.5279297239115
21.1895,1760.79,1708.3329351659143,52.45706483408571,1542.6630668169582,218.12693318304173
21.5299,1763.03,1696.6578763590787,66.37212364092125,1539.6440633578277,223.38593664217228
21.8704,1744.81,1685.0542805563964,59.75571944360354,1536.6250598986974,208.18494010130257
22.2124,1711.52,1673.5364403586966,37.98355964130337,1533.606056439567,177.91394356043293
22.5529,1715.67,1662.1186483668068,53.551351633193235,1530.587052980437,185.0829470195631
22.8933,1687.06,1650.815197181555,36.244802818444896,1527.5680495213069,159.49195047869307
23.2337,1665.15,1639.6403794037676,25.50962059623248,1524.5490460621768,140.6009539378233
23.5741,1648.84,1628.60848763427,20.23151236572994,1521.5300426030471,127.30995739695277
23.9145,1640.9,1617.7338144738872,23.16618552611294,1518.511039143917,122.38896085608303
24.2564,1607.03,1607.030652523443,-0.0006525234430228011,1515.492035684787,91.537964315213
24.5968,1609.51,1596.513294383761,12.996705616239069,1512.4730322256567,97.03696777434334
24.9371,1597.54,1586.166803246412,11.37319675358799,1509.4540287665263,88.08597123347363
25.2774,1588.41,1575.976242302969,12.43375769703107,1506.435025307396,81.97497469260406
25.6177,1574.31,1565.926674745005,8.383325254995043,1503.416021848266,70.89397815173402
25.958,1556.27,1556.0031637640923,0.26683623590770367,1500.397018389136,55.87298161086392
26.2983,1548.11,1546.1907725518038,1.919227448196125,1497.3780149300057,50.73198506999415
26.6386,1554.04,1536.4855086093899,17.55449139061011,1494.359011470876,59.68098852912385
26.9789,1537.12,1526.8868519420778,10.233148057922108,1491.3400080117462,45.77999198825364
27.3191,1530.27,1517.3942825550926,12.875717444907423,1488.3210045526164,41.948995447383595
27.6608,1523.02,1508.007280453658,15.012719546341941,1485.3020010934865,37.71799890651346
28.0011,1502.19,1498.7253256429995,3.4646743570006038,1482.2829976343564,19.90700236564362
28.3413,1507.17,1489.54789812834,17.622101871660107,1479.0598161296837,28.110183870316405
28.6814,1510.47,1480.474477914902,29.995522085097946,1475.8366346250111,34.6333653749889
29.0216,1490.19,1471.504545007908,18.68545499209199,1472.6134531203381,17.57654687966192
29.3618,1476.69,1462.6375794125788,14.052420587421238,1469.2119493365083,7.478050663491786
29.7019,1494.68,1453.8730611341352,40.80693886586482,1465.7328479369382,28.94715206306182
30.042,1474.37,1445.210470177798,29.159529822201876,1462.2537465373687,12.11625346263122
30.3821,1469.88,1436.6492865487885,33.230713451211614,1458.6517199516738,11.228280048326269
30.7222,1444.58,1428.1889902523276,16.391009747672342,1454.9360126361114,-10.356012636111473
31.0623,1454.91,1419.8290612936355,35.08093870636458,1451.331135208389,3.5788647916110676
31.4024,1455.89,1411.568979677933,44.32102032206717,1447.6895373331079,8.200462666892236
31.7424,1450.07,1403.40822541044,46.661774589559855,1443.9651422294878,6.104857770512126
32.0825,1447.18,1395.3462784963738,51.83372150362629,1440.1789372514725,7.001062748527602
32.4225,1438.4,1387.38261894095,51.017381059050194,1436.3222151624666,2.0777848375334997
32.7625,1420.64,1379.516726749384,41.123273250616194,1432.4443305008836,-11.804330500883452
33.1025,1424.25,1371.7480819268899,52.50191807311012,1428.691094349698,-4.441094349698005
33.4425,1423.05,1364.0761644786812,58.97383552131873,1424.9837196052633,-1.9337196052633772
33.7824,1421.95,1356.5004544099718,65.44954559002826,1421.296140387894,0.6538596121060891
34.1224,1416.35,1349.0204317259736,67.32956827402631,1417.6019259247453,-1.2519259247453647
34.4623,1414.92,1341.6355764318994,73.28442356810069,1413.9204642821433,0.9995357178568156
34.8022,1409.09,1334.3453685329612,74.74463146703874,1410.2288969678239,-1.1388969678239391
35.1421,1402.24,1327.1492880343712,75.09071196562877,1406.548899050006,-4.308899050005948
35.482,1400.2,1320.0468149413412,80.15318505865889,1402.9130117191914,-2.7130117191913996
35.8204,1401.68,1313.0374292590818,88.64257074091825,1399.3047503496932,2.3752496503068414
36.1602,1394.2,1306.120610992804,88.07938900719614,1395.6726588992728,-1.4726588992728011
36.5001,1397.59,1299.2958401477174,98.29415985228252,1392.0554891856718,5.534510814328087
36.8399,1397.08,1292.5625967290327,104.51740327096718,1388.438319472071,8.641680527928884
37.1797,1387.15,1285.9203607419606,101.22963925803947,1384.82114975847,2.3288502415300627
37.5195,1376.92,1279.3686121917106,97.55138780828952,1381.1806726886082,-4.2606726886081105
37.8593,1383.47,1272.9068310834914,110.56316891650863,1377.5835953154128,5.886404684587205
38.1991,1363.39,1266.5344974225109,96.85550257748923,1373.9865179422175,-10.59651794221736
38.5389,1368.33,1260.251091213977,108.07890878602302,1370.4991750404029,-2.1691750404029335
38.8771,1357.66,1254.0560924630972,103.60390753690285,1367.0337696804281,-9.37376968042804
39.2168,1354.44,1247.9489811750798,106.49101882492027,1363.6650305436985,-9.225030543698495
39.5565,1363.22,1241.9292373551318,121.29076264486821,1360.3913525822459,2.828647417754155
