Wavenumber,Original,Baseline,Corrected
900.53082,2366203.0,2307528.404440286,58674.5955597139
901.8009,2352158.0,2301542.1368152364,50615.863184763584
903.07098,2343290.0,2295557.551560124,47732.44843987608
904.34082,2336553.0,2289576.331044886,46976.668955114204
905.60907,2327106.0,2283600.1576394583,43505.84236054169
906.87866,2320326.0,2277630.713713779,42695.286286220886
908.14807,2311260.0,2271669.681637785,39590.31836221507
909.41583,2306062.0,2265718.7437814134,40343.25621858658
910.68506,2294164.0,2259779.582514602,34384.417485397775
911.95404,2290555.0,2253853.880207288,36701.11979271192
913.22137,2280664.0,2247943.3192294077,32720.6807705923
914.49011,2270280.0,2242049.5819508983,28230.418049101718
915.75714,2263129.0,2236174.350741696,26954.64925830392
917.02557,2256932.0,2230319.3079717387,26612.692028261255
918.29388,2245822.0,2224486.1360109625,21335.86398903746
919.56049,2242390.0,2218676.5172293037,23713.482770696282
920.82697,2230741.0,2212892.133996698,17848.866003301926
922.09485,2224217.0,2207134.668683082,17082.331316918135
923.36102,2220139.0,2201405.8036583923,18733.19634160772
924.62854,2212489.0,2195707.2212925656,16781.778707434423
925.89441,2201578.0,2190040.603955538,11537.396044461988
927.16022,2198260.0,2184407.634017245,13852.365982755087
928.42731,2188406.0,2178809.993847621,9596.00615237886
929.69281,2183790.0,2173249.365816603,10540.634183397051
930.95807,2174262.0,2167727.432294126,6534.567705873866
932.22485,2171389.0,2162245.875650127,9143.124349873047
933.48987,2163363.0,2156806.378254541,6556.621745458804
934.7547,2156216.0,2151410.622477304,4805.37752269581
936.01953,2151433.0,2146060.2906883513,5372.709311648738
937.28412,2143667.0,2140757.0652576177,2909.934742382262
938.54858,2140859.0,2135502.628555038,5356.371444961987
939.81287,2132447.0,2130298.6629505483,2148.3370494516566
941.07855,2129384.0,2125146.850814084,4237.149185915943
942.34259,2121052.0,2120048.8745155795,1003.1254844204523
943.60645,2116373.0,2115006.4164249683,1366.58357503172
944.87018,2112680.0,2110021.2707002866,2658.729299713392
946.13373,2106905.0,2105095.2314995695,1809.7685004305094
947.39581,2101347.0,2100230.092980853,1116.9070191471837
948.65906,2095406.0,2095427.6493021734,-21.649302173405886
949.92224,2092800.0,2090689.6946215671,2110.3053784328513
951.18524,2086127.0,2086013.0191588649,113.98084113514051
952.44806,2083618.0,2081394.4131338967,2223.5868661033455
953.71088,2077800.0,2076833.3340385603,966.6659614397213
954.97345,2074120.0,2072329.239364753,1790.7606352469884
956.23438,2068718.0,2067881.5866043721,836.4133956278674
957.49664,2063868.0,2063489.8332493145,378.1667506855447
958.75879,2060385.0,2059153.4367914773,1231.5632085227408
960.02087,2056819.0,2054871.91164404,1947.0883559600916
961.28125,2053751.0,2050644.7722201818,3106.227779818233
962.54297,2051297.0,2046471.5329330824,4825.467066917568
963.80304,2046507.0,2042351.7081959208,4155.291804079199
965.06445,2042031.0,2038284.8124218772,3746.18757812283
966.32574,2043391.0,2034270.36002413,9120.639975870028
967.58545,2039539.0,2030307.8654158579,9231.134584142128
968.84644,2033074.0,2026396.8430102407,6677.1569897593
970.10577,2032634.0,2022536.8072204576,10097.192779542413
971.36652,2029740.0,2018727.272459688,11012.727540312102
972.62555,2028170.0,2014967.753141112,13202.246858888073
973.88452,2023119.0,2011257.7636779102,11861.236322089797
975.14478,2019973.0,2007596.818483262,12376.18151673791
976.4035,2020015.0,2003984.4319703479,16030.568029652117
977.66345,2016069.0,2000420.1185523467,15648.881447653286
978.92181,2015792.0,1996903.3926424382,18888.60735756182
980.18005,2013462.0,1993433.7686538016,20028.231346198358
981.43811,2007064.0,1990010.760999616,17053.239000383997
982.69751,2010392.0,1986633.8840930606,23758.115906939376
983.95532,2007432.0,1983302.6523473153,24129.347652684664
985.21295,2005027.0,1980016.5801755597,25010.419824440265
986.47046,2003406.0,1976775.1819909746,26630.818009025417
987.72784,2001250.0,1973577.9722067388,27672.027793261223
988.98511,1998133.0,1970424.4652360324,27708.53476396762
990.24219,1998818.0,1967314.1754920343,31503.824507965706
991.50061,1992395.0,1964246.6173879246,28148.382612075424
992.75739,1994092.0,1961221.3053368838,32870.69466311624
994.01404,1985795.0,1958237.7537520917,27557.246247908333
995.27051,1988873.0,1955295.4770467288,33577.52295327117
996.52539,1982445.0,1952393.9896339776,30051.010366022354
997.78162,1984288.0,1949532.8059270196,34755.194072980434
999.03766,1980919.0,1946711.4403390365,34207.55966096348
1000.2936,1979146.0,1943929.4072832116,35216.59271678841
1001.5494,1975828.0,1941186.2211727272,34641.77882727282
1002.8051,1977464.0,1938481.3964207666,38982.6035792334
1004.0605,1974333.0,1935814.4474405132,38518.55255948682
1005.3144,1970239.0,1933184.88864515,37054.11135485
1006.5696,1969185.0,1930592.2344478602,38592.76555213984
1007.8248,1968930.0,1928035.9992618277,40894.000738172326
1009.0797,1964193.0,1925515.6975002366,38677.302499763435
1010.3329,1965865.0,1923030.8435762706,42834.15642372938
1011.5876,1962649.0,1920580.9519031143,42068.04809688567
1012.8406,1959798.0,1918165.5368939515,41632.463106048526
1014.095,1958458.0,1915784.1129619665,42673.887038033456
1015.3492,1955561.0,1913436.1945203438,42124.80547965621
1016.6019,1955956.0,1911121.2959822665,44834.70401773346
1017.8558,1952202.0,1908838.9317609193,43363.06823908072
1019.1081,1953868.0,1906588.6162694874,47279.38373051258
1020.3618,1946773.0,1904369.8639211569,42403.13607884315
1021.6138,1945511.0,1902182.1891291132,43328.81087088678
1022.8656,1946709.0,1900025.1063065412,46683.893693458755
1024.1189,1941696.0,1897898.1298666254,43797.870133374585
1025.3704,1940089.0,1895800.7742225511,44288.22577744885
1026.6218,1938508.0,1893732.5537875032,44775.44621249684
1027.8746,1935836.0,1891692.9829746657,44143.017025334295
1029.1259,1934716.0,1889681.576197223,45034.42380277696
1030.3768,1931779.0,1887697.8478683596,44081.15213164035
1031.6278,1930186.0,1885741.3124012607,44444.687598739285
1032.88,1927506.0,1883811.4842091103,43694.51579088974
1034.1306,1922027.0,1881907.8777050937,40119.122294906294
1035.3811,1922916.0,1880030.0073023953,42885.9926976047
1036.6313,1919953.0,1878177.3874141988,41775.612585801166
1037.8816,1917285.0,1876349.5324536872,40935.46754631284
1039.1316,1915640.0,1874545.9568340434,41094.043165956624
1040.3816,1913967.0,1872766.1749684506,41200.82503154944
1041.6313,1910153.0,1871009.7012700918,39143.29872990819
1042.8809,1909096.0,1869276.0501521514,39819.94984784862
1044.1304,1907147.0,1867564.7360278135,39582.26397218648
1045.3796,1904098.0,1865875.2733102622,38222.726689737756
1046.6288,1901585.0,1864207.1764126816,37377.82358731842
1047.8779,1901792.0,1862559.9597482553,39232.04025174468
1049.1268,1898265.0,1860933.1377301668,37331.86226983322
1050.3741,1896796.0,1859326.2247715995,37469.77522840048
1051.6227,1894434.0,1857738.7352857362,36695.264714263845
1052.8712,1890980.0,1856170.1836857593,34809.816314240685
1054.1195,1889126.0,1854620.0843848528,34505.91561514721
1055.3662,1884188.0,1853087.9517961997,31100.04820380034
1056.6143,1882653.0,1851573.3003329833,31079.699667016743
1057.8622,1880906.0,1850075.6444083871,30830.355591612868
1059.1085,1879809.0,1848594.4984355948,31214.50156440516
1060.3562,1876104.0,1847129.3768277885,28974.62317221146
1061.6022,1873358.0,1845679.7939981506,27678.20600184938
1062.8495,1871814.0,1844245.2643598635,27568.735640136525
1064.0952,1871137.0,1842825.3023261097,28311.697673890274
1065.3423,1867186.0,1841419.4223100734,25766.577689926606
1066.5878,1864707.0,1840027.138724938,24679.861275061965
1067.8345,1864238.0,1838647.965983887,25590.03401611303
1069.0797,1860861.0,1837281.4185001033,23579.58149989671
1070.3262,1859499.0,1835927.0106867708,23571.98931322922
1071.571,1857168.0,1834584.2569570728,22583.743042927235
1072.8158,1855173.0,1833252.6717241933,21920.328275806736
1074.0619,1851085.0,1831931.7694013168,19153.230598683236
1075.3064,1854718.0,1830621.064401627,24096.935598372947
1076.5507,1850015.0,1829320.0711383084,20694.928861691616
1077.7948,1846743.0,1828028.3040245445,18714.695975455455
1079.0388,1845682.0,1826745.2774735203,18936.722526479745
1080.2843,1844580.0,1825470.5058984195,19109.494101580465
1081.5281,1843342.0,1824203.5037124262,19138.496287573827
1082.7717,1839498.0,1822943.7853287237,16554.214671276277
1084.0151,1838243.0,1821690.8651604948,16552.13483950519
1085.2584,1837277.0,1820444.2576209214,16832.74237907864
1086.5017,1835820.0,1819203.477123185,16616.52287681494
1087.7448,1835846.0,1817968.0380804671,17877.961919532856
1088.9875,1832628.0,1816737.454905948,15890.545094052097
1090.2303,1830184.0,1815511.242012808,14672.7579871919
1091.473,1830740.0,1814288.9138142273,16451.08618577267
1092.7156,1829823.0,1813069.9847233854,16753.015276614577
1093.9579,1826362.0,1811853.9691534631,14508.030846536858
1095.1986,1826276.0,1810640.3815176412,15635.618482358754
1096.4407,1824978.0,1809428.7362291003,15549.263770899735
1097.6826,1824359.0,1808218.5477010196,16140.452298980439
1098.9243,1822483.0,1807009.330346579,15473.669653421035
1100.1646,1822736.0,1805800.5985789583,16935.401421041694
