Spectrum,Lambda,Tau
0-1,17690.66427023976,1.916708868641632e-06
1-1,17690.66427023976,1.916708868641632e-06
10-1,17690.664270239722,1.916708868641632e-06
11-1,17690.664270239722,1.916708868641632e-06
2-1,17690.66427023965,1.916708868641632e-06
4-1,17690.664270239722,1.916708868641632e-06
5-1,17690.664270239722,1.916708868641632e-06
6-1,17690.664270239722,1.916708868641632e-06
7-1,17690.66427023976,1.916708868641632e-06
8-1,17690.66427023976,1.916708868641632e-06
9-1,17690.664270239722,1.916708868641632e-06
