Corrected,Result
-8.63E-03,0
-0.00829,0
-0.00796,0
-0.00762,0
-0.0073,0
-0.00697,0
-0.00665,0
-0.00633,0
-0.00602,0
-0.00571,0
-0.0054,0
-0.00509,0
-0.00479,0
-0.0045,0
-0.0042,0
-0.00391,0
-0.00363,0
-0.00334,0
-0.00306,0
-0.00279,0
-0.0025,0
-0.00223,0
-0.00197,0
-0.00171,0
-0.00145,0
-0.00119,0
-9.40E-04,0
-6.80E-04,0
-4.30E-04,0
-1.90E-04,0
6.00E-05,0
2.90E-04,0
5.20E-04,0
7.60E-04,0
9.90E-04,0
0.00122,0
0.00144,0
0.00166,0
0.00187,0
0.00209,0
0.00229,0
0.0025,0
0.00271,0
0.00292,0
0.00312,0
0.00331,0
0.0035,0
0.00369,0
0.00388,0
0.00406,0
0.00426,0
0.00443,0
0.00461,0
0.00478,0
0.00496,0
0.00512,0
0.00529,0
0.00545,0
0.00562,0
0.00577,0
0.00593,0
0.00608,0
0.00623,0
0.00638,0
0.00653,0
0.00667,0
0.00681,0
0.00694,0
0.00707,0
0.00721,0
0.00734,0
0.00747,0
0.00759,0
0.00772,0
0.00784,0
0.00796,0
0.00808,0
0.00819,0
0.0083,0
0.00841,0
0.00851,0
0.00862,0
0.00872,0
0.00882,0
0.00892,0
0.00902,0
0.00911,0
0.0092,0
0.00929,0
0.00937,0
0.00947,0
0.00955,0
0.00962,0
0.00971,0
0.00978,0
0.00986,0
0.00993,0
0.01,0
0.01007,0
0.01014,0
0.0102,0
0.01026,0
0.01032,0
0.01038,0
0.01045,0
0.01049,0
0.01055,0
0.0106,0
0.01065,0
0.0107,0
0.01074,0
0.01079,0
0.01083,0
0.01088,0
0.01092,0
0.01095,0
0.01098,0
0.01102,0
0.01106,0
0.01109,0
0.01111,0
0.01114,0
0.01116,0
0.01119,0
0.01122,0
0.01124,0
0.01126,0
0.01127,0
0.01129,0
0.0113,0
0.01132,0
0.01134,0
0.01134,0
0.01135,0
0.01137,0
1.14E-02,0
1.14E-02,0
1.14E-02,0
1.14E-02,0
1.14E-02,0
1.14E-02,0
1.14E-02,0
1.14E-02,0
1.14E-02,0
1.14E-02,0
1.14E-02,0
1.14E-02,0
1.13E-02,0
1.13E-02,0
1.13E-02,0
1.13E-02,0
1.13E-02,0
1.13E-02,0
1.13E-02,0
1.12E-02,0
1.12E-02,0
1.12E-02,0
1.12E-02,0
1.12E-02,0
1.11E-02,0
1.11E-02,0
1.11E-02,0
1.11E-02,0
1.10E-02,0
1.10E-02,0
1.10E-02,0
1.10E-02,0
1.09E-02,0
1.09E-02,0
1.08E-02,0
1.08E-02,0
1.08E-02,0
1.07E-02,0
1.07E-02,0
1.07E-02,0
1.06E-02,0
1.06E-02,0
1.05E-02,0
1.05E-02,0
1.05E-02,0
1.04E-02,0
1.04E-02,0
1.03E-02,0
1.03E-02,0
1.02E-02,0
1.02E-02,0
1.01E-02,0
1.01E-02,0
1.00E-02,0
9.98E-03,0
9.93E-03,0
9.88E-03,0
9.83E-03,0
9.77E-03,0
9.71E-03,0
9.66E-03,0
9.61E-03,0
9.55E-03,0
9.49E-03,0
9.43E-03,0
9.38E-03,0
9.32E-03,0
9.25E-03,0
9.20E-03,0
9.13E-03,0
9.07E-03,0
9.01E-03,0
8.94E-03,0
8.88E-03,0
8.82E-03,0
8.75E-03,0
8.68E-03,0
8.62E-03,0
8.55E-03,0
8.48E-03,0
8.42E-03,0
8.34E-03,0
8.28E-03,0
8.21E-03,0
8.14E-03,0
8.06E-03,0
8.00E-03,0
7.92E-03,0
7.86E-03,0
7.78E-03,0
7.71E-03,0
7.63E-03,0
7.56E-03,0
7.49E-03,1.00E-05
7.41E-03,0
7.34E-03,0
7.26E-03,0
7.19E-03,1.00E-05
7.12E-03,1.00E-05
7.05E-03,1.00E-05
6.96E-03,1.00E-05
6.90E-03,2.00E-05
6.82E-03,2.00E-05
6.74E-03,2.00E-05
6.67E-03,3.00E-05
6.60E-03,4.00E-05
6.54E-03,5.00E-05
0.00646,6.00E-05
0.00639,7.00E-05
0.00633,9.00E-05
0.00627,1.10E-04
0.00621,1.30E-04
0.00616,1.60E-04
0.00612,2.00E-04
0.00607,2.40E-04
0.00605,2.90E-04
0.00603,3.50E-04
0.00601,4.20E-04
0.00601,5.10E-04
0.00602,6.00E-04
0.00605,7.10E-04
0.0061,8.50E-04
0.00618,0.00101
0.00627,0.00118
0.0064,0.00139
0.00655,0.00163
0.00674,0.00191
0.00697,0.00222
0.00724,0.00258
0.00756,0.00299
0.00793,0.00344
0.00837,0.00397
0.00887,0.00455
0.00944,0.00521
0.01008,0.00594
0.01081,0.00675
0.01161,0.00765
0.01252,0.00864
0.01352,0.00973
0.01463,0.01092
0.01585,0.01223
0.01718,0.01365
0.01862,0.01518
0.02018,0.01683
0.02187,0.01861
0.02367,0.0205
0.02562,0.02253
0.02767,0.02467
0.02985,0.02694
0.03215,0.02933
0.03456,0.03183
0.03708,0.03444
0.03969,0.03714
0.0424,0.03994
0.04518,0.04281
0.04803,0.04575
0.05092,0.04873
0.05385,0.05175
0.05681,0.05479
0.05976,0.05784
0.06268,0.06085
0.06558,0.06384
0.06841,0.06676
