Wavenumber,1-ocp_02,10--1_2v_01,11--1_3v_01,12--1_4v_01,13--1_5v_01,14--1_6v_01,15--1_7v_01,16--1_8v_01,17--1_9v_01,18--1_7v-b_01,18--1_8v-b_01,19--1_6v-b_01,2--0_4v_01,20--1_5v-b_01,21--1_4v-b_01,22--1_3v-b_01,23--1_2v-b_01,24--1_1v-b_01,25--1v-b_01,26--0_9v-b_01,27--0_8v-b_01,28--0_7v-b_01,29--0_6v-b_01,3--0_5v_01,30--0_5v-b_01,31--0_4v-b_01,32--ocp-b_01,34--2v-b_01,4--0_6v_01,5--0_7v_01,6--0_8v_01,7--0_9v_01,8--1v_01,9--1_1v_01
19.8258,1856.72,2617.38,2427.12,2309.93,2239.68,2253.66,2369.87,2344.13,2276.7,1795.18,1868.36,1716.84,2157.43,1628.09,1588.5,1579.06,1664.38,1598.67,1670.75,1536.76,1589.72,1659.35,2302.2,2460.22,1681.17,1632.63,1499.37,660.382,2911.22,3169.02,2918.21,2552.41,2628.16,2593.72
20.1664,1844.25,2579.51,2392.69,2284.77,2218.37,2231.36,2355.7,2349.08,2255.98,1795.01,1859.44,1701.79,2131.76,1601.95,1579.41,1555.89,1654.62,1593.86,1661.36,1523.06,1578.67,1659.65,2299.47,2451.13,1646.17,1608.68,1478.96,652.319,2881.47,3146.81,2924.22,2506.62,2600.82,2573.38
20.5084,1808.94,2559.52,2375.51,2253.33,2186.74,2202.16,2311.12,2299.73,2220.65,1756.05,1852.27,1682.47,2108.51,1595.43,1569.35,1559.44,1628.85,1573.64,1644.4,1503,1578.78,1645.26,2278.55,2406.49,1643.66,1610.73,1478.88,643.705,2855.54,3115.81,2882.72,2508.22,2575.31,2551.19
20.849,1806.21,2530.07,2346.78,2221.12,2168.38,2172.18,2297.22,2286.46,2168.87,1723.13,1821.51,1660.73,2084.57,1573.37,1538.25,1512.8,1611.05,1555.99,1616.68,1503.01,1554.77,1624.64,2255.87,2369.9,1607.38,1590.01,1447.22,635.025,2802.8,3052.77,2822.62,2440.01,2565.67,2469.25
21.1895,1760.79,2494.3,2289.83,2201.78,2157.63,2159.59,2265,2266.23,2183.07,1740.73,1783.9,1650.11,2058.69,1556.8,1533.44,1513.14,1582.24,1553.86,1598.01,1484.77,1533.56,1632.13,2229.9,2353.42,1624.06,1581.01,1449.67,632.136,2773.13,3019.56,2797.47,2433.4,2506.29,2465.07
21.5299,1763.03,2476.78,2287.92,2194.9,2121.92,2137.81,2247.95,2235.48,2139.89,1706.8,1797.14,1642.63,2033.79,1542.64,1516.11,1500.83,1593.37,1530.05,1587.62,1478.46,1516.97,1596.3,2224.11,2314.32,1594.22,1551.32,1428.1,620.233,2762.57,2995.67,2770.76,2411.01,2487.41,2443.53
21.8704,1744.81,2462.41,2248.58,2146.07,2102.82,2107.34,2217.55,2208.75,2116.62,1688.36,1769,1625.93,2019.73,1516.94,1510.46,1481.5,1561.78,1501.54,1576.68,1466.11,1501.05,1588.54,2227.57,2292.33,1606.5,1552.86,1411.37,611.051,2724.5,2961.29,2753.33,2392.76,2469.62,2429.42
22.2124,1711.52,2436.28,2242.08,2142.54,2090.14,2099.67,2201.29,2188.83,2082.94,1668.16,1758.54,1611.61,1990.97,1527.58,1493.62,1462.72,1555.55,1508.16,1543.94,1456.49,1498.51,1585.84,2187,2262.6,1576.92,1525.5,1397.26,610.688,2691.67,2959.76,2719.88,2368.49,2435.18,2403.67
22.5529,1715.67,2415.63,2216.25,2131.4,2069.38,2085.49,2183.17,2172.3,2081.1,1672.94,1732.03,1591.13,1984.03,1505.06,1486.25,1470.01,1531.43,1512.02,1560.85,1442.42,1481.61,1571.48,2175.48,2283.53,1573.67,1531.43,1382.6,604.611,2676.79,2927.7,2713.91,2342.5,2414.05,2387.92
22.8933,1687.06,2367.65,2186.03,2122.07,2032.36,2057.99,2162.23,2156.49,2058.48,1657.77,1709.15,1594.3,1964.5,1494.46,1459.3,1452.35,1528.63,1477.74,1540.72,1434.04,1462.6,1559.27,2179.07,2240.95,1563.17,1514.47,1368.01,600.151,2661.07,2889.19,2647.77,2314.92,2407.8,2372.53
