Wavenumber,Original,Baseline,Corrected
150.0,3587.74,3587.7666118585075,-0.026611858507749275
150.92037,3615.54432,3596.5788087818523,18.96551121814764
151.84074,3656.44731,3605.39099093394,51.05631906606004
152.7611,3705.38764,3614.203143543515,91.1844964564848
153.68147,3759.57324,3623.01525183932,136.55798816068
154.60184,3816.46523,3631.827301050097,184.63792894990274
155.52221,3873.53196,3640.6392764045877,232.8926835954121
156.44258,3928.24213,3649.4511631315354,278.7909668684647
157.36295,3978.05038,3658.262946459685,319.7874335403153
158.28331,4020.41073,3667.074611617781,353.33611838221896
159.20368,4052.83094,3675.886143834567,376.94479616543276
160.12405,4073.06736,3684.6975283387883,388.3698316612117
161.04442,4079.7973,3693.508750359187,386.288549640813
161.96479,4073.31791,3702.319795124505,370.99811487549505
162.88515,4056.09275,3711.1306478634847,344.9621021365151
163.80552,4031.39176,3719.941293804866,311.45046619513414
164.72589,4001.80963,3728.7517181773896,273.05791182261055
165.64626,3969.93524,3737.5619062097953,232.37333379020447
166.56663,3938.35635,3746.3718431308253,191.98450686917477
167.48699,3909.66559,3755.181514169218,154.48407583078188
168.40736,3886.40944,3763.990904553713,122.41853544628702
169.32773,3870.82319,3772.7999995130444,98.02319048695563
170.2481,3864.2881,3781.6087842759507,82.6793157240495
171.16847,3866.91336,3790.417244071169,76.49611592883093
172.08884,3877.93582,3799.2253641274337,78.7104558725664
173.0092,3896.40356,3808.033129673483,88.37043032651718
173.92957,3921.7597,3816.8405259380547,104.91917406194534
174.84994,3952.45347,3825.647538149887,126.80593185011276
175.77031,3987.41796,3834.4541515377186,152.96380846228158
176.69068,4025.68374,3843.2603513302856,182.4233886697143
177.61104,4066.25367,3852.0661227563232,214.18754724367682
178.53141,4108.17092,3860.871451044567,247.29946895543253
179.45178,4150.52191,3869.676321423753,280.84558857624734
180.37215,4192.42343,3878.4807191226178,313.94271087738207
181.29252,4233.02245,3887.284629369896,345.7378206301046
182.21289,4271.4851,3896.0880373943214,375.39706260567846
183.13325,4306.96655,3904.890928424629,402.0756215753713
184.05362,4338.62307,3913.693287689551,424.92978231044845
184.97399,4365.4518,3922.495100417821,442.95669958217877
185.89436,4386.28833,3931.2963518381694,454.99197816183096
186.81473,4400.66091,3940.097027179326,460.5638828206738
187.73509,4408.19016,3948.8971116700213,459.2930483299788
188.65546,4409.43496,3957.6965905389866,451.738369461013
189.57583,4405.69623,3966.495449014952,439.20078098504746
190.4962,4398.57986,3975.293672326648,423.28618767335183
191.41657,4389.76934,3984.0912457028076,405.6780942971923
192.33693,4380.95182,3992.8881543721623,388.06366562783796
193.2573,4373.81202,4001.6843835634413,372.127636436559
194.17767,4370.04772,4010.479918505373,359.56780149462656
195.09804,4371.32451,4019.2747444266856,352.04976557331474
196.01841,4379.23342,4028.068846556108,351.16457344389164
196.93878,4395.40429,4036.8622101223655,358.54207987763493
197.85914,4418.76619,4045.654820354185,373.1113696458151
198.77951,4447.41894,4054.446662480292,392.9722775197074
199.69988,4479.38473,4063.237721729411,416.1470082705887
200.62025,4512.66184,4072.027983330268,440.6338566697318
201.54062,4545.25398,4080.817432511589,464.43654748841163
202.46098,4575.14861,4089.6060545020987,485.5425554979015
203.38135,4600.34407,4098.393834530525,501.95023546947505
204.30172,4618.88564,4107.180757825593,511.70488217440743
205.22209,4629.09297,4115.966809616027,513.126160383973
206.14246,4630.22001,4124.751975130554,505.46803486944646
207.06283,4623.18411,4133.536239597899,489.64787040210103
207.98319,4610.05966,4142.31958824679,467.74007175321003
208.90356,4593.4294,4151.102006305952,442.3273936940477
209.82393,4576.2066,4159.883479004109,416.32312099589126
210.7443,4560.87215,4168.663991569986,392.208158430014
211.66467,4549.90059,4177.443529232308,372.4570607676924
212.58503,4545.74796,4186.222077219798,359.52588278020175
213.5054,4550.80437,4194.999620761184,355.80474923881593
214.42577,4566.89277,4203.776145085196,363.11662491480456
215.34614,4594.44441,4212.551635420566,381.89277457943444
216.26651,4632.23026,4221.326076996025,410.90418300397505
217.18687,4678.02165,4230.0994550403075,447.9221949596922
218.10724,4729.35484,4238.871754782145,490.48308521785475
219.02761,4783.73424,4247.6429614502695,536.0912785497303
219.94798,4838.54216,4256.413060273414,582.129099726586
220.86835,4890.92739,4265.182036480312,625.7453535196883
221.78872,4938.41154,4273.949875299696,664.461664700304
222.70908,4978.6137,4282.716561960301,695.8971380396988
223.62945,5009.85792,4291.482081690862,718.3758383091381
224.54982,5031.86248,4300.246419720115,731.6160602798846
225.47019,5045.50704,4309.009561276797,736.4974787232031
226.39056,5052.19072,4317.771491589644,734.4192284103556
227.31092,5053.42395,4326.53219588739,726.8917541126102
228.23129,5050.7349,4335.29165939877,715.4432406012302
229.15166,5045.63511,4344.049867352522,701.5852426474785
230.07203,5039.65223,4352.806804977382,686.8454250226177
230.9924,5034.3141,4361.562457502088,672.7516424979112
231.91277,5031.4313,4370.316810155381,661.1144898446191
232.83313,5032.05145,4379.069848165998,652.9816018340016
233.7535,5036.63045,4387.821556762681,648.8088932373184
234.67387,5045.30062,4396.571921174168,648.728698825832
235.59424,5058.10576,4405.320926629198,652.7848333708025
236.51461,5075.06603,4414.068558356513,660.9974716434872
237.43497,5096.19663,4422.814801584854,673.3818284151466
238.35534,5121.51636,4431.559641542964,689.956718457036
239.27571,5151.04253,4440.303063459585,710.7394665404145
240.19608,5184.77294,4449.0450525634615,735.7278874365384
241.11645,5222.62941,4457.785594083337,764.8438159166626
242.03681,5264.24257,4466.524673247957,797.7178967520431
242.95718,5308.80679,4475.262275286066,833.5445147139335
243.87755,5355.00327,4483.9983854264065,871.0048845735937
244.79792,5401.50279,4492.732988897724,908.7698011022758
245.71829,5447.11002,4501.466070928761,945.6439490712391
246.63866,5490.63639,4510.197616748264,980.4387732517353
247.55902,5530.88899,4518.927611584977,1011.9613784150233
248.47939,5566.6729,4527.65604066764,1039.0168593323597
249.39976,5596.89711,4536.382889224992,1060.5142207750077
250.32013,5620.8911,4545.108142485773,1075.7829575142268
251.2405,5638.83339,4553.831785678723,1085.0016043212772
252.16086,5651.88251,4562.553804032582,1089.3287059674185
253.08123,5661.63647,4571.27418277609,1090.3622872239102
254.0016,5669.75447,4579.992907137987,1089.7615628620133
254.92197,5678.0746,4588.709962347011,1089.3646376529887
255.84234,5688.4416,4597.4253336319025,1091.0162663680976
256.76271,5702.49904,4606.139006221399,1096.360033778601
